# AUDI_WAPSTRA_2003.DATA
#
# 
# Each line is:
#  Z   A    MassExcess (keV)
#
54 118 -78079.1
54 119 -78794.4
54 120 -82172.4
54 121 -82472.8
54 122 -85355
54 123 -85248.6
54 124 -87660.1
54 125 -87192.1
54 126 -89168.5
54 127 -88320.8
54 128 -89860
54 129 -88697.4
54 130 -89881.7
54 131 -88415.2
54 132 -89280.5
54 133 -87643.6
54 134 -88124.5
54 135 -86417
54 136 -86425.1
54 137 -82379.4
54 138 -80150.9
54 139 -75643.9
54 140 -72991
54 141 -68326.9
54 142 -65475.1
54 143 -60445
54 144 -57278
54 145 -52098
54 146 -48671
54 147 -43259
55 112 -46294
55 113 -51704.2
55 114 -54539
55 115 -59699
55 116 -62068
55 117 -66442.8
55 118 -68409.4
55 119 -72305.1
55 120 -73888.7
55 121 -77100.5
55 122 -78139.8
55 123 -81043.7
55 124 -81731.3
55 125 -84087.6
